step,g_phase_deg,LF_fx,LF_fz,LF_hip,LF_knee,LF_swing,LH_fx,LH_fz,LH_hip,LH_knee,LH_swing,RF_fx,RF_fz,RF_hip,RF_knee,RF_swing,RH_fx,RH_fz,RH_hip,RH_knee,RH_swing
132,237.6,16.625,0.0,113.411,102.203,0,-5.25,0.0,136.161,97.678,0,-27.125,0.0,31.068,69.211,0,27.72,9.628,74.771,88.107,1
133,239.4,16.187,0.0,113.932,101.94,0,-5.688,0.0,136.533,97.765,0,-27.562,0.0,30.951,68.752,0,29.319,7.566,77.883,82.658,1
134,241.2,15.75,0.0,114.45,101.684,0,-6.125,0.0,136.9,97.858,0,-28.0,0.0,30.841,68.284,0,30.748,5.691,80.788,77.458,1
135,243.0,15.312,0.0,114.965,101.436,0,-6.562,0.0,137.263,97.959,0,-28.438,0.0,30.737,67.808,0,31.992,4.037,83.44,72.63,1
136,244.8,14.875,0.0,115.479,101.195,0,-7.0,0.0,137.621,98.066,0,-28.875,0.0,30.64,67.322,0,33.04,2.636,85.782,68.317,1
137,246.6,14.437,0.0,115.99,100.961,0,-7.438,0.0,137.976,98.18,0,-29.312,0.0,30.549,66.827,0,33.878,1.51,87.742,64.676,1
138,248.4,14.0,0.0,116.499,100.734,0,-7.875,0.0,138.327,98.301,0,-29.75,0.0,30.465,66.323,0,34.493,0.683,89.238,61.88,1
139,250.2,13.563,0.0,117.006,100.514,0,-8.312,0.0,138.673,98.43,0,-30.188,0.0,30.387,65.809,0,34.871,0.174,90.187,60.1,1
140,252.0,13.125,0.0,117.51,100.302,0,-8.75,0.0,139.015,98.565,0,-30.625,0.0,30.317,65.286,0,35.0,0.0,90.516,59.482,0
141,253.8,12.688,0.0,118.012,100.096,0,-9.187,0.0,139.352,98.707,0,-31.062,0.0,30.253,64.753,0,34.563,0.0,89.888,60.112,0
142,255.6,12.25,0.0,118.512,99.898,0,-9.625,0.0,139.686,98.856,0,-31.5,0.0,30.196,64.21,0,34.125,0.0,89.264,60.731,0
143,257.4,11.813,0.0,119.009,99.707,0,-10.063,0.0,140.014,99.012,0,-31.938,0.0,30.146,63.657,0,33.688,0.0,88.643,61.338,0
144,259.2,11.375,0.0,119.504,99.522,0,-10.5,0.0,140.339,99.175,0,-32.375,0.0,30.103,63.093,0,33.25,0.0,88.027,61.934,0
145,261.0,10.938,0.0,119.996,99.345,0,-10.937,0.0,140.658,99.345,0,-32.812,0.0,30.067,62.519,0,32.812,0.0,87.414,62.519,0
